mask,lead,n_pixels,n,mean,sd,t_lo,t_hi,b_lo,b_hi,p
irr_015_025,40,193,15,0.003056483467419961,0.023233569066211514,-0.009809838226115222,0.015922805160955143,-0.007341243823369329,0.015394552424550099,0.6183319878533778
irr_025_050,8,247,15,0.0007170995076497395,0.007208168379019767,-0.0032746510891413306,0.00470885010444081,-0.0025409206748008726,0.004441497623920438,0.7058051307475957
irr_025_050,16,247,15,0.001836097240447998,0.010875604431010369,-0.00418661174680417,0.007858806227700165,-0.0032209759453932477,0.007423710972070685,0.523794560613118
irr_025_050,24,247,15,0.0018706103165944455,0.017090551871391718,-0.007593821844935331,0.01133504247812422,-0.005651166339715315,0.010871924509604777,0.6780730822578275
irr_025_050,32,247,15,0.0024215499560038137,0.01946506803408176,-0.008357845426570611,0.013200945338578237,-0.006652235289414731,0.012537530114253353,0.6373800808919103
irr_025_050,40,247,15,0.003730585177739463,0.026057514546632972,-0.010699585397238016,0.01816075575271694,-0.008147020488977438,0.0174630102018515,0.5879962020596272
irr_050_plus,8,114,15,0.003782804807027181,0.008698206113210717,-0.001034101183193639,0.008599710797248,-0.0004982642332712809,0.008015913069248197,0.11426935293930976
irr_050_plus,16,114,15,0.0065939108530680265,0.014149782410095152,-0.0012419774627987152,0.014429799168934769,-0.00014700690905254177,0.013701716413100539,0.09264706467430626
irr_050_plus,24,114,15,0.011339016755421958,0.023510095962119566,-0.0016804404288132714,0.024358473939657187,0.0005844911684592637,0.02335786578555902,0.08284119636709902
irr_050_plus,32,114,15,0.012730536361535379,0.018019560758299663,0.00275163622648647,0.022709436496584287,0.004318895215789459,0.021716166796783596,0.016074491358393832
irr_050_plus,40,114,15,0.013479111095269532,0.03067756391892122,-0.003509557543198488,0.03046777973373755,-2.843254556256009e-05,0.029636280648410313,0.11090160323211246
reg_Southern_Great_Plains,8,268,15,-0.0007562081019083659,0.007736623534892953,-0.005040607409566672,0.0035281912057499405,-0.004318514962991078,0.003166230817635846,0.7106928815873839
reg_Southern_Great_Plains,16,268,15,-0.0008841435114542644,0.009590475527311364,-0.00619517183330672,0.004426884810398192,-0.005319863359133402,0.004051903784275053,0.7263794485533577
reg_Southern_Great_Plains,24,268,15,-0.0019828359285990545,0.013916955109171231,-0.009689788782841813,0.005724116925643705,-0.008538810710112258,0.004991593410571387,0.5897799725481947
reg_Southern_Great_Plains,32,268,15,-0.0020130813121795616,0.019017448299838067,-0.012544593148289757,0.008518430523930634,-0.011346617192029953,0.0073567186792691565,0.6880306610067276
reg_Southern_Great_Plains,40,268,15,-0.0015556424856185838,0.026160548637932407,-0.016042871438509576,0.01293158646727241,-0.014571614513794583,0.011274527261654522,0.8211839117608265
reg_Northern_Great_Plains,8,243,15,0.005082869529724121,0.011039401547195182,-0.0010305472770327168,0.011196286336480957,-0.00029350211222966513,0.01045822262763977,0.0962339901006374
reg_Northern_Great_Plains,16,243,15,0.009213024377822898,0.01740138575068586,-0.0004235418485529045,0.0188495906041987,0.0011499702930450626,0.0182049230237802,0.05952250501315048
reg_Northern_Great_Plains,24,243,15,0.01023127834002175,0.025350480154502007,-0.003807349639342223,0.024269906319385724,-0.0009240752210219963,0.023693196649352672,0.14034351254286176
reg_Northern_Great_Plains,32,243,15,0.012555739780267092,0.023606205116609682,-0.0005169408797001483,0.025628420440234334,0.0015835595751802455,0.024566525754829253,0.058496996418061005
reg_Northern_Great_Plains,40,243,15,0.013735457509756093,0.03861859066701104,-0.00765080516287516,0.03512172018238734,-0.004531184490770091,0.033313558058192354,0.18998081663155064
